Date,Open,High,Low,Close,Adj Close,Volume,Day
"May 27, 2022",417.5,425.39,409,425.08,425.08,"2,767,400",1937
"May 26, 2022",365.61,382.4,364.44,377.96,377.96,"1,914,900",1936
"May 25, 2022",338.66,356.25,337.08,352.95,352.95,"954,700",1935
"May 24, 2022",342.48,343.38,330.8,342.08,342.08,"821,500",1934
"May 23, 2022",345.93,349.02,338.54,346.65,346.65,"865,900",1933
"May 20, 2022",354.83,354.83,333.05,343.05,343.05,"1,165,400",1932
"May 19, 2022",348.94,357.83,345.22,351.31,351.31,"1,092,100",1931
"May 18, 2022",380.93,383.02,344,350.45,350.45,"1,667,500",1930
"May 17, 2022",398.8,400.99,387.96,393.01,393.01,"670,500",1929
"May 16, 2022",396.34,399.34,387.52,393.16,393.16,"652,100",1928
"May 13, 2022",385.69,396.64,384.84,395.89,395.89,"760,200",1927
"May 12, 2022",371.41,384.15,369.35,377.85,377.85,"713,100",1926
"May 11, 2022",379.78,388.68,374.35,375.95,375.95,"917,900",1925
"May 10, 2022",389.41,393,371.32,380.87,380.87,"825,600",1924
"May 9, 2022",384.03,396.33,379.34,381.09,381.09,"750,900",1923
"May 6, 2022",394.63,394.63,382.05,389.43,389.43,"639,400",1922
"May 5, 2022",401.84,404,388.34,396.63,396.63,"663,500",1921
"May 4, 2022",401.53,410,392.03,408.64,408.64,"691,500",1920
"May 3, 2022",404.38,404.45,395.83,401.23,401.23,"716,000",1919
"May 2, 2022",398.61,406.23,393.39,405.55,405.55,"746,500",1918
"Apr 29, 2022",413.86,414.19,395.63,396.8,396.8,"954,300",1917
"Apr 28, 2022",407.89,420.83,403.64,417.42,417.42,"552,400",1916
"Apr 27, 2022",405.28,411.59,399.21,402.78,402.78,"666,100",1915
"Apr 26, 2022",412.59,413.84,406.56,407.33,407.33,"480,200",1914
"Apr 25, 2022",404.76,418.5,400.36,418.14,418.14,"732,900",1913
"Apr 22, 2022",416.18,418.58,405.73,406.51,406.51,"594,800",1912
"Apr 21, 2022",435,438.63,419.92,421.43,421.43,"662,700",1911
"Apr 20, 2022",430.97,437.22,429.16,431.38,431.38,"635,100",1910
"Apr 19, 2022",415.2,431.06,414.2,428.37,428.37,"906,800",1909
"Apr 18, 2022",414.19,419.21,411.99,415.84,415.84,"410,200",1908
"Apr 14, 2022",416.52,421.24,413.52,415.65,415.65,"552,400",1907
"Apr 13, 2022",405.91,418.8,405.71,415.5,415.5,"626,500",1906
"Apr 12, 2022",407.52,415.25,404.58,405.9,405.9,"576,800",1905
"Apr 11, 2022",401.63,411.15,399.37,403.78,403.78,"687,800",1904
"Apr 8, 2022",397.21,406,395.55,401.55,401.55,"513,800",1903
"Apr 7, 2022",389.77,400,388.56,398.78,398.78,"481,900",1902
"Apr 6, 2022",394.25,394.44,380.57,391.21,391.21,"744,500",1901
"Apr 5, 2022",398.1,404.46,392.21,398.35,398.35,"438,800",1900
"Apr 4, 2022",387.18,398.62,385.49,398.62,398.62,"521,300",1899
"Apr 1, 2022",399,400.57,384,388.22,388.22,"814,900",1898
"Mar 31, 2022",403.14,405.88,397.89,398.22,398.22,"611,100",1897
"Mar 30, 2022",401.3,405.11,398.51,401.75,401.75,"400,700",1896
"Mar 29, 2022",399.96,408.73,398.48,406.5,406.5,"665,100",1895
"Mar 28, 2022",394.52,396.11,389.58,395.48,395.48,"416,400",1894
"Mar 25, 2022",398.3,398.56,391.77,395.07,395.07,"447,800",1893
"Mar 24, 2022",389.96,396.62,387.42,395.84,395.84,"565,200",1892
"Mar 23, 2022",388,390.9,383.44,389.79,389.79,"652,000",1891
"Mar 22, 2022",391.09,398.59,385.85,389.75,389.75,"650,900",1890
"Mar 21, 2022",390.46,392.83,379.07,385.67,385.67,"818,400",1889
"Mar 18, 2022",385.33,392.58,383.19,391.23,391.23,"696,200",1888
"Mar 17, 2022",385.58,389.53,381.35,387.31,387.31,"704,500",1887
"Mar 16, 2022",374.46,390.97,374.46,385.51,385.51,"954,000",1886
"Mar 15, 2022",361.43,372.11,360.6,371.38,371.38,"710,300",1885
"Mar 14, 2022",369.62,371.58,355.28,357.52,357.52,"941,700",1884
"Mar 11, 2022",385,389,366.43,368.51,368.51,"1,520,300",1883
"Mar 10, 2022",367.36,381.4,364,379.37,379.37,"1,748,700",1882
"Mar 9, 2022",369.43,376.33,368.1,373.31,373.31,"697,200",1881
"Mar 8, 2022",354.28,369.47,350.1,359.02,359.02,"884,800",1880
"Mar 7, 2022",367.73,369.71,350.4,350.84,350.84,"1,023,700",1879
"Mar 4, 2022",371.5,373.46,361.95,366.76,366.76,"661,200",1878
"Mar 3, 2022",382.02,383,367.03,373.69,373.69,"569,500",1877
"Mar 2, 2022",371.78,384,369.96,381.5,381.5,"606,000",1876
"Mar 1, 2022",372.21,375.76,365.84,369.01,369.01,"562,800",1875
"Feb 28, 2022",371.38,377.99,367.54,374.5,374.5,"802,900",1874
"Feb 25, 2022",372.96,378.49,366.86,378.07,378.07,"466,000",1873
"Feb 24, 2022",344.02,373.67,341.47,373.09,373.09,"922,500",1872
"Feb 23, 2022",371.68,372.82,352.88,355.07,355.07,"697,800",1871
"Feb 22, 2022",372,379.84,360.99,368.13,368.13,"714,300",1870
"Feb 18, 2022",368.43,381.74,367,375.83,375.83,"742,500",1869
"Feb 17, 2022",379.69,380.67,367.77,369.12,369.12,"610,400",1868
"Feb 16, 2022",377.62,383.29,376.35,381.6,381.6,"725,900",1867
"Feb 15, 2022",363.88,379.77,363.88,379.65,379.65,"560,900",1866
"Feb 14, 2022",363.68,367.56,357.27,362.65,362.65,"794,400",1865
"Feb 11, 2022",373.89,375.92,359.72,362.17,362.17,"794,500",1864
"Feb 10, 2022",371.08,383.22,370.86,374.01,374.01,"711,600",1863
"Feb 9, 2022",367.64,376.82,367.08,376.04,376.04,"778,100",1862
"Feb 8, 2022",367.33,369.31,357.81,364.23,364.23,"808,400",1861
"Feb 7, 2022",366.25,372.23,361.95,364.26,364.26,"426,300",1860
"Feb 4, 2022",363.73,369.62,359.01,365.73,365.73,"556,200",1859
"Feb 3, 2022",366.24,373.01,363.79,364.76,364.76,"436,600",1858
"Feb 2, 2022",374.69,375.47,366.4,371.69,371.69,"467,800",1857
"Feb 1, 2022",364.37,373.41,361.84,372.32,372.32,"500,700",1856
"Jan 31, 2022",356.46,364.85,356.33,363.74,363.74,"641,200",1855
"Jan 28, 2022",351.68,359.1,346.93,358.83,358.83,"537,800",1854
"Jan 27, 2022",359.35,363.03,348.46,351.58,351.58,"673,700",1853
"Jan 26, 2022",361.6,365.63,350.3,353.81,353.81,"664,500",1852
"Jan 25, 2022",358.37,359.39,347.07,352.74,352.74,"823,900",1851
"Jan 24, 2022",340.25,365.76,336.29,364.84,364.84,"1,110,400",1850
"Jan 21, 2022",357.02,360.23,348.63,349.42,349.42,"1,139,900",1849
"Jan 20, 2022",373.49,379.49,357.27,359.11,359.11,"717,300",1848
"Jan 19, 2022",374.82,381.09,371.47,371.68,371.68,"741,200",1847
"Jan 18, 2022",368.38,377,365.97,372.97,372.97,"572,800",1846
"Jan 14, 2022",377.45,377.45,364.5,374.48,374.48,"903,400",1845
"Jan 13, 2022",384.16,388.73,376.68,378.15,378.15,"691,800",1844
"Jan 12, 2022",386.57,390.56,380.11,384.16,384.16,"364,300",1843
"Jan 11, 2022",382.15,387,372,384.44,384.44,"703,400",1842
"Jan 10, 2022",392.54,393.17,369.5,381.04,381.04,"945,900",1841
"Jan 7, 2022",398.56,404.99,393.63,397.1,397.1,"523,900",1840
"Jan 6, 2022",403.22,405.15,395.61,400.49,400.49,"497,500",1839
"Jan 5, 2022",416.62,417.07,401.2,401.49,401.49,"930,700",1838
"Jan 4, 2022",416.93,422.43,412.61,418.74,418.74,"598,000",1837
"Jan 3, 2022",413.7,420.97,409.71,413.23,413.23,"507,300",1836
"Dec 31, 2021",404.75,414.65,403.53,412.34,412.34,"445,400",1835
"Dec 30, 2021",404.69,413.63,404,404.79,404.79,"406,500",1834
"Dec 29, 2021",398.71,406.43,397.08,405.3,405.3,"338,900",1833
"Dec 28, 2021",405.38,406.52,397.54,398.81,398.81,"402,100",1832
"Dec 27, 2021",394.78,405,393.5,403.84,403.84,"648,200",1831
"Dec 23, 2021",389.68,396.21,388.05,392.37,392.37,"537,700",1830
"Dec 22, 2021",378.22,388.27,375.27,387.91,387.91,"472,200",1829
"Dec 21, 2021",369.77,380.02,368.95,378.27,378.27,"597,100",1828
"Dec 20, 2021",373.32,373.32,362.3,365.82,365.82,"1,055,900",1827
"Dec 17, 2021",383.23,390.04,376.32,380.94,380.94,"1,026,800",1826
"Dec 16, 2021",399.31,400,384.31,385.17,385.17,"999,400",1825
"Dec 15, 2021",389.65,395.92,382.4,394.61,394.61,"931,900",1824
"Dec 14, 2021",382.54,391.03,380.77,389.65,389.65,"899,100",1823
"Dec 13, 2021",400.73,405.31,387.82,388.29,388.29,"857,400",1822
"Dec 10, 2021",402.78,404.79,396.01,403.49,403.49,"841,400",1821
"Dec 9, 2021",411.26,417.25,404.19,404.41,404.41,"887,800",1820
"Dec 8, 2021",407.57,414.26,405.6,412.09,412.09,"1,061,000",1819
"Dec 7, 2021",397.25,415.27,392.53,407.7,407.7,"1,181,700",1818
"Dec 6, 2021",383.71,398.09,381.1,390.02,390.02,"1,182,700",1817
"Dec 3, 2021",402.42,404,372.84,378.81,378.81,"2,128,600",1816
"Dec 2, 2021",370.39,384.53,364.03,383.64,383.64,"1,683,800",1815
"Dec 1, 2021",390.09,394.96,369.51,370.02,370.02,"943,200",1814
"Nov 30, 2021",398.38,399.94,380.29,383.95,383.95,"1,624,600",1813
"Nov 29, 2021",407.36,407.74,397.03,401.42,401.42,"563,100",1812
"Nov 26, 2021",394.05,403.22,393,399.53,399.53,"475,000",1811
"Nov 24, 2021",401.46,409.97,400.37,409.56,409.56,"367,900",1810
"Nov 23, 2021",409.84,411.64,397.43,408.93,408.93,"539,200",1809
"Nov 22, 2021",410.4,414.71,407.41,411.77,411.77,"429,500",1808
"Nov 19, 2021",406.35,410.55,400.1,407.71,407.71,"517,900",1807
"Nov 18, 2021",406.78,407.72,399.36,405.65,405.65,"497,800",1806
"Nov 17, 2021",413.14,415.79,401.33,402.21,402.21,"513,500",1805
"Nov 16, 2021",401.67,417.85,400.28,413.86,413.86,"740,000",1804
"Nov 15, 2021",400,407.95,398.15,401.73,401.73,"346,400",1803
"Nov 12, 2021",396.43,400.81,394.11,396.5,396.5,"391,200",1802
"Nov 11, 2021",392.94,398.27,392.01,395.57,395.57,"383,200",1801
"Nov 10, 2021",392.66,397.47,387.9,391.34,391.34,"477,900",1800
"Nov 9, 2021",389.17,402.35,388.72,395.11,395.11,"618,400",1799
"Nov 8, 2021",391.64,393,386.61,388.11,388.11,"433,700",1798
"Nov 5, 2021",385.87,394.14,382,391.85,391.85,"675,600",1797
"Nov 4, 2021",383.26,387.56,378.7,381.07,381.07,"545,100",1796
"Nov 3, 2021",372.77,383.27,370.68,381.78,381.78,"523,000",1795
"Nov 2, 2021",366.39,374.53,363.67,371.86,371.86,"738,800",1794
"Nov 1, 2021",369.13,370.14,363.38,365.13,365.13,"647,500",1793
"Oct 29, 2021",371.15,373.45,366.07,367.36,367.36,"649,400",1792
"Oct 28, 2021",370.74,373.04,369.53,370.39,370.39,"363,400",1791
"Oct 27, 2021",367.83,373.59,364.09,369.79,369.79,"544,700",1790
"Oct 26, 2021",371.72,372.74,363.28,366.06,366.06,"566,300",1789
"Oct 25, 2021",371.45,375.22,368.37,371,371,"530,500",1788
"Oct 22, 2021",371.88,373.61,365.28,371.45,371.45,"835,900",1787
"Oct 21, 2021",357.95,373.7,357.95,371.88,371.88,"1,332,200",1786
"Oct 20, 2021",366.25,367.28,355,358.15,358.15,"2,328,300",1785
"Oct 19, 2021",390.88,398,360.66,363.35,363.35,"4,169,400",1784
"Oct 18, 2021",404.51,410.93,402.32,406.35,406.35,"716,200",1783
"Oct 15, 2021",407.98,410,403.51,405.72,405.72,"670,400",1782
"Oct 14, 2021",400,407.68,399.1,403.91,403.91,"739,800",1781
"Oct 13, 2021",387.96,397.5,385.86,395.31,395.31,"662,700",1780
"Oct 12, 2021",380.58,388.56,380.48,386.92,386.92,"588,600",1779
"Oct 11, 2021",379.2,386.26,378.69,380.87,380.87,"565,500",1778
"Oct 8, 2021",378.46,383.06,375.01,378.37,378.37,"699,300",1777
"Oct 7, 2021",372.08,379.62,370.55,375.03,375.03,"391,700",1776
"Oct 6, 2021",371.25,374.09,366.77,368.21,368.21,"572,000",1775
"Oct 5, 2021",371.22,378.39,367.16,373.77,373.77,"563,600",1774
"Oct 4, 2021",367,370.48,363.52,369.92,369.92,"545,900",1773
"Oct 1, 2021",361.92,369.97,359.65,368.03,368.03,"574,800",1772
"Sep 30, 2021",378.49,378.49,360.51,360.92,360.92,"838,900",1771
"Sep 29, 2021",380.86,381.91,377.03,378.35,378.35,"426,100",1770
"Sep 28, 2021",378.72,380.72,374.55,378.14,378.14,"449,600",1769
"Sep 27, 2021",382,387.96,380.25,381.13,381.13,"381,200",1768
"Sep 24, 2021",377.66,384.3,376.04,382.13,382.13,"294,600",1767
"Sep 23, 2021",379.35,386.69,377.88,380.76,380.76,"488,300",1766
"Sep 22, 2021",372.49,377.56,369.88,375.85,375.85,"387,900",1765
"Sep 21, 2021",371.33,373.74,367.22,369.84,369.84,"509,900",1764
"Sep 20, 2021",370.8,373.1,363.79,369.74,369.74,"859,100",1763
"Sep 17, 2021",380.46,385.61,377.88,379.05,379.05,"629,900",1762
"Sep 16, 2021",375.5,383.66,375.13,382.32,382.32,"526,300",1761
"Sep 15, 2021",373.09,378.94,367.64,375.93,375.93,"920,200",1760
"Sep 14, 2021",374.57,374.58,368.71,373.73,373.73,"384,300",1759
"Sep 13, 2021",377.99,377.99,367.95,372.29,372.29,"560,500",1758
"Sep 10, 2021",385,385.3,374.34,374.82,374.82,"568,200",1757
"Sep 9, 2021",376.19,384.12,373.08,382.08,382.08,"598,300",1756
"Sep 8, 2021",379.1,380.39,370.8,376.3,376.3,"757,300",1755
"Sep 7, 2021",383.49,384.78,378.71,379.33,379.33,"503,800",1754
"Sep 3, 2021",379.56,384.27,377.55,382.11,382.11,"421,000",1753
"Sep 2, 2021",387,387,379.76,381.21,381.21,"740,000",1752
"Sep 1, 2021",389.52,392,386.79,387.46,387.46,"666,400",1751
"Aug 31, 2021",384.58,387.67,378.18,387.31,387.31,"771,300",1750
"Aug 30, 2021",387.5,388.83,380.37,383.17,383.17,"917,000",1749
"Aug 27, 2021",385.15,392.6,378.53,387.23,387.23,"1,078,600",1748
"Aug 26, 2021",411.08,414.98,386.03,388.68,388.68,"2,946,100",1747
"Aug 25, 2021",374.39,390.68,367.17,389.9,389.9,"1,917,300",1746
"Aug 24, 2021",371,378.1,370.89,373.85,373.85,"731,500",1745
"Aug 23, 2021",370,376.36,369.37,370,370,"562,700",1744
"Aug 20, 2021",361.1,367.21,357.61,366.77,366.77,"441,400",1743
"Aug 19, 2021",357.22,363.83,355.24,360.86,360.86,"616,100",1742
"Aug 18, 2021",360.87,367.98,357.76,361.72,361.72,"415,700",1741
"Aug 17, 2021",366.59,368.2,356.4,360.74,360.74,"479,500",1740
"Aug 16, 2021",372.65,373,366.41,369.67,369.67,"394,400",1739
"Aug 13, 2021",372.04,374.47,368.9,371.85,371.85,"505,900",1738
"Aug 12, 2021",368,372.22,366.7,371.91,371.91,"453,900",1737
"Aug 11, 2021",361.51,367.15,358.71,366.83,366.83,"535,100",1736
"Aug 10, 2021",351.86,364.26,351.03,361.74,361.74,"632,400",1735
"Aug 9, 2021",352.02,356.64,347.38,352.65,352.65,"404,600",1734
"Aug 6, 2021",352.51,355,349.91,352.99,352.99,"356,400",1733
"Aug 5, 2021",345.17,351.66,343.37,351.65,351.65,"406,400",1732
"Aug 4, 2021",345.13,349.74,340.91,342.57,342.57,"511,800",1731
"Aug 3, 2021",338.79,347.33,335.74,346.66,346.66,"600,700",1730
"Aug 2, 2021",337.5,342.7,335.93,336.76,336.76,"440,100",1729
"Jul 30, 2021",333.6,342.68,332.36,335.8,335.8,"642,700",1728
"Jul 29, 2021",336,339.3,332.55,334.61,334.61,"561,200",1727
"Jul 28, 2021",338.18,341.82,331.55,333.97,333.97,"502,400",1726
"Jul 27, 2021",344.06,344.06,329.48,337.52,337.52,"489,600",1725
